fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
10,f1d287b8-98f6-40fa-ad2a-3f9524eb0e3f,O-20210405-000000-001-140724799106400-11,BINANCE-1-11,T-7bab3a5fc888d8ab-483029,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58234.62000000,0.40764234 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
11,d9ca2a99-dd00-4185-b6fa-43026e90160c,O-20210412-000000-001-140724799106400-12,BINANCE-1-12,T-8306f8f8f7e67219-518214,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,60090.21000000,0.30045105 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
12,79c0ddb9-8e6a-489a-894e-32900ee641f3,O-20210419-000000-001-140724799106400-13,BINANCE-1-13,T-7d19d7b10f0e7d93-553728,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.065,56140.04000000,3.64910260 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
13,82d3056b-ab51-47e9-b7a6-11bb8f503770,O-20210419-000100-001-140724799106400-14,BINANCE-1-14,T-78190bb18f0ea15c-553732,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.063,56236.47000000,3.54289761 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
14,116701f7-63d7-44d7-a5d5-dbe43ab45fd4,O-20210426-000000-001-140724799106400-15,BINANCE-1-15,T-06eea41d47eb061b-589625,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.022,49063.93000000,1.07940646 USDT,USDT,TAKER,1619395260000000000,1619395260000000000
15,979f0823-e7d7-499e-bf22-34d26657e429,O-20210503-000000-001-140724799106400-16,BINANCE-1-16,T-a2573f3f94e11b73-625049,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.031,56630.34000000,1.75554054 USDT,USDT,TAKER,1620000060000000000,1620000060000000000
16,31d5e81c-78e0-4fdc-bc23-6806fbc6b87b,O-20210510-000000-001-140724799106400-17,BINANCE-1-17,T-ce24f27a7af93303-660195,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58292.54000000,0.40804778 USDT,USDT,TAKER,1620604860000000000,1620604860000000000
17,70f2cf3c-c1b3-4c41-84e7-f2964da39cd0,O-20210517-000000-001-140724799106400-18,BINANCE-1-18,T-2213e5468ee6d2cb-695778,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,46429.27000000,0.32500489 USDT,USDT,TAKER,1621209660000000000,1621209660000000000
18,26b256cf-ff0c-4194-b2af-d784b233c1bd,O-20210524-000000-001-140724799106400-19,BINANCE-1-19,T-c3d455e8b7c4a20b-732402,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,34651.59000000,0.13860636 USDT,USDT,TAKER,1621814460000000000,1621814460000000000
19,81b733d4-54dc-48b0-abb0-46460119a173,O-20210531-000000-001-140724799106400-20,BINANCE-1-20,T-e3cf944dd53a0b20-768686,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,35651.82000000,0.10695546 USDT,USDT,TAKER,1622419260000000000,1622419260000000000
20,abefa379-ddd1-446b-8048-55dd02a77cb9,O-20210614-000000-001-140724799106400-21,BINANCE-1-21,T-c198ee754c308f13-840020,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,38993.66000000,0.27295562 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
21,94fb1c62-22a4-43ff-b766-c11773646403,O-20210621-000000-001-140724799106400-22,BINANCE-1-22,T-5b933fac1eb5fddd-875276,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.048,35588.65000000,1.70825520 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
22,ccf6031c-9c25-4595-bd6e-45b8a0beadb3,O-20210621-000100-001-140724799106400-23,BINANCE-1-23,T-8f8807bfe4e1d4b8-875281,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.068,35570.49000000,2.41879332 USDT,USDT,TAKER,1624233720000000000,1624233720000000000
23,e6fba3ce-7476-407a-b399-70d986345c5f,O-20210628-000000-001-140724799106400-24,BINANCE-1-24,T-102ebecf4ba529a3-910952,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.068,34687.70000000,2.35876360 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
24,4014283a-a00c-4029-b5fa-4fd7d7f64710,O-20210628-000100-001-140724799106400-25,BINANCE-1-25,T-4808b99cf0348c4d-910956,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.065,34572.76000000,2.24722940 USDT,USDT,TAKER,1624838520000000000,1624838520000000000
25,52d067be-c397-408b-ae39-e1fa99e899e8,O-20210712-000000-001-140724799106400-26,BINANCE-1-26,T-05e2f749c6e30f6f-981118,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.019,34253.80000000,0.65082220 USDT,USDT,TAKER,1626048060000000000,1626048060000000000
26,d62a8593-62e0-44bd-aec3-acd17a579e78,O-20210719-000000-001-140724799106400-27,BINANCE-1-27,T-708cdeea6d5089b6-1015758,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.013,31766.99000000,0.41297087 USDT,USDT,TAKER,1626652860000000000,1626652860000000000
27,8192a839-de4f-48fa-84fc-771b9678280c,O-20210726-000000-001-140724799106400-28,BINANCE-1-28,T-396cf8ddf89be646-1050483,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.097,35370.67000000,3.43095499 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
28,a828763e-736f-4352-8840-64b58464511e,O-20210726-000100-001-140724799106400-29,BINANCE-1-29,T-1a7c800947711f2d-1050488,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.115,35304.00000000,4.05996000 USDT,USDT,TAKER,1627257720000000000,1627257720000000000
