adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.96298125 USDT,,funding_settlement:e0590952-d3c9-4970-b635-d21a1a5268ad,1616169600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.86329465 USDT,,funding_settlement:5ad8af77-5419-4c36-8b48-c09ae0deec43,1616198400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59920357 USDT,,funding_settlement:7b978784-e30b-48e4-b9cb-a01b8a6547d4,1616227200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.90084289 USDT,,funding_settlement:536f1f09-2eec-48c2-83f3-e5e36ed17f8b,1616256000007000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.82417311 USDT,,funding_settlement:5507213e-33a8-42bd-8b85-c730d890fe68,1616284800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.41600724 USDT,,funding_settlement:b60e0f47-f55f-4980-ae4e-b33c752eca5a,1616313600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.57200910 USDT,,funding_settlement:c1e79176-9383-49f4-97d0-f7680d4ef3a3,1616342400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98058049 USDT,,funding_settlement:9387496c-1a33-4fd3-8ba0-2d28f54bb874,1616371200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.62598535 USDT,,funding_settlement:f87c4ef5-5252-4c93-9acb-7615a06506ee,1616400000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.79681507 USDT,,funding_settlement:383656d2-4bd8-46c8-9d5e-8da0f421c5b5,1616428800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30997656 USDT,,funding_settlement:9a93a88b-c170-47b4-9630-df54719c7fa9,1616457600000000000
FUNDING,BTCUSDT-PERP.BINANCE,1.44273436 USDT,,funding_settlement:67038df5-3452-40bb-a459-3c2c0ff83d53,1616486400010000000
FUNDING,BTCUSDT-PERP.BINANCE,2.33264216 USDT,,funding_settlement:f7d71ff2-f825-4ede-968e-5d5b21baedb1,1616515200023000000
FUNDING,BTCUSDT-PERP.BINANCE,2.90768271 USDT,,funding_settlement:5e447fac-ceb6-4f17-97d8-d56cee5cc633,1616544000002000000
FUNDING,BTCUSDT-PERP.BINANCE,0.91929753 USDT,,funding_settlement:b03773d5-351e-4bc7-9c9d-c6c57ddc8b59,1616572800000000000
FUNDING,BTCUSDT-PERP.BINANCE,1.48887838 USDT,,funding_settlement:0abcc940-9f3d-45ee-8c26-6a8bc19eaceb,1616601600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.61870571 USDT,,funding_settlement:7ca1cf58-a54f-43a7-88e7-194c85c3c56c,1616630400000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.52279460 USDT,,funding_settlement:c622ed4e-9542-40e4-81e8-fdccfdd7cb93,1616659200000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.51005170 USDT,,funding_settlement:063e30cd-9b04-49dc-8722-4f6e8238155f,1616688000000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.82133632 USDT,,funding_settlement:079e3bcd-f906-4f02-af6f-473950f433ed,1616716800008000000
FUNDING,BTCUSDT-PERP.BINANCE,0.53567861 USDT,,funding_settlement:95f93bfb-0dca-44a3-9172-0e07f2445837,1616745600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.53303919 USDT,,funding_settlement:0f8b1d1d-9604-406b-8a63-6cde39af7d7a,1616774400012000000
FUNDING,BTCUSDT-PERP.BINANCE,0.55030010 USDT,,funding_settlement:bed75785-639b-42b1-a7c9-8760e6e74fe6,1616803200018000000
FUNDING,BTCUSDT-PERP.BINANCE,0.54969817 USDT,,funding_settlement:8d1f185f-f582-4c61-a30b-00c8f449b1ca,1616832000000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.54981040 USDT,,funding_settlement:0455b76e-ecf2-4ef3-ac27-883a24d858c4,1616860800001000000
FUNDING,BTCUSDT-PERP.BINANCE,0.55858652 USDT,,funding_settlement:ab0c092d-5059-407c-874f-c6768406ff77,1616889600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.56206990 USDT,,funding_settlement:42b4832a-1aff-4eb2-a1d7-88ddb4c96563,1616918400000000000
