row_type,event_index,ts_event,instrument_id,side,signed_qty,quantity,avg_px_open,realized_pnl
PositionOpened,14,1617062520000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,15,1617840060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,16,1617840120000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,17,1617926460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,18,1617926520000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,19,1618790460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,20,1618790520000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,21,1619827260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,22,1619827320000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,23,1620172860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,24,1620172920000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,25,1620259260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,26,1620259320000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,27,1620864060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,28,1620864120000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,29,1622764860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,30,1622764920000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,31,1622851260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,32,1622851320000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,33,1623283260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,34,1623283320000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,35,1623542460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,36,1623542520000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,37,1623628860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,38,1623628920000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,39,1624060860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,40,1624060920000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,41,1625011260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,42,1625011320000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,43,1625097660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,44,1625097720000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,45,1625443260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,46,1625443320000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,47,1625529660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,48,1625529720000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,49,1626048060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,50,1626048120000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,51,1626134460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,52,1626134520000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,53,1627084860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,54,1627084920000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
